weigh,total,courier,consignnote
87.64,94.4000,1,SBG24000099
0.06,6.5000,1,JHB24000041
17.20,24.0000,1,SPT24000543
2.00,6.5000,1,SPT24000544
20.80,16.5000,1,AOR24000042
48.10,35.3000,1,SPT24000545
54.00,38.8000,1,SPT24000546
72.78,83.1000,1,SPT24000547
0.48,6.5000,1,SPT24000549
18.40,10.1200,1,SPT24000550
18.60,10.1200,1,SPT24000551
18.60,10.1200,1,SPT24000552
29.08,15.9500,1,SPT24000553
45.60,51.6900,1,SPT24000554
33.20,40.8700,1,SPT24000555
69.00,72.4100,1,SPT24000556
23.20,30.6600,1,SPT24000557
6.90,11.9100,1,SPT24000558
53.70,58.8900,1,SPT24000559
135.50,128.9600,1,SPT24000560
20.00,26.2500,1,SPT24000561
94.84,50.4000,1,SPT24000562
18.60,10.1200,1,SPT24000564
63.00,33.4400,1,SPT24000565
150.00,140.0900,1,SPT24000567
17.80,9.5900,1,SPT24000568
18.40,10.1200,1,SPT24000569
1.00,8.0000,1,SPT24000570
12.33,8.0000,1,SPT24000572
18.40,10.1200,1,SPT24000573
18.60,10.1200,1,SPT24000574
0.42,6.5000,1,SPT24000575
1.35,12.7000,1,SBG24000101
7.62,15.7000,1,SPT24000576
19.15,30.1000,1,SPT24000577
18.60,10.1200,1,SPT24000578
68.00,71.5100,1,SPT24000579
25.70,13.8300,1,SPT24000581
18.60,10.1200,1,SPT24000582
18.40,10.1200,1,SPT24000583
27.50,35.0600,1,SPT24000584
2.40,7.7000,5,MYCQY00006229
3.04,7.7000,1,SPT24000585
16.00,210.6200,3,XEN00001173
25.20,32.8000,5,MYCQY00006230
5.00,9.7100,1,SPT24000587
9.70,15.2200,1,SPT24000588
19.40,26.2500,1,SPT24000589
19.40,26.2500,1,SPT24000590
22.60,29.5500,1,SPT24000591
30.00,37.2700,1,SPT24000592
144.00,135.4000,1,SPT24000594
10.00,15.2200,1,SPT24000595
15.00,20.7300,1,SPT24000596
11.54,18.5000,1,SPT24000597
1089.34,438.9400,1,SPT24000598
1.00,6.5000,1,SPT24000599
1.16,6.5000,1,SPT24000600
5.98,11.3000,1,SPT24000601
68.00,71.5100,1,SPT24000602
917.51,370.1400,1,SPT24000603
2.04,9.7000,7,NVN00002515
