consignnote,courier,state,weigh,total,datepickup
SPT24022624,1,"KUALA LUMPUR",1.00,6.1000,"2024-10-07 00:00:00"
SBG24004243,1,JOHOR,0.00,9.0100,"2024-10-07 00:00:00"
SPT24022625,1,PERAK,1.20,8.1600,"2024-10-07 00:00:00"
MYCQY00009116,5,KEDAH,1.20,8.1600,"2024-10-07 00:00:00"
SPT24022626,1,SELANGOR,0.08,6.8900,"2024-10-07 00:00:00"
66662594554000,9,JOHOR,64.00,54.2700,"2024-10-07 00:00:00"
JHB24001146,1,"KUALA LUMPUR",8.20,17.0700,"2024-10-07 00:00:00"
MYCQY00009117,5,SELANGOR,24.29,33.6000,"2024-10-07 00:00:00"
SPT24022627,1,"PULAU PINANG",0.96,6.8900,"2024-10-07 00:00:00"
XEN00001615,3,SARAWAK,25.00,347.6400,"2024-10-07 00:00:00"
SPT24022628,1,"PULAU PINANG",46.00,59.4700,"2024-10-07 00:00:00"
SPT24022629,1,JOHOR,112.00,93.7000,"2024-10-07 00:00:00"
SPT24022630,1,PERLIS,14.56,23.4300,"2024-10-07 00:00:00"
66662595611000,9,"NEGERI SEMBILAN",42.00,35.6200,"2024-10-07 00:00:00"
SPT24022631,1,JOHOR,6.35,13.2500,"2024-10-07 00:00:00"
SPT24022632,1,"PULAU PINANG",1.00,5.3000,"2024-10-07 00:00:00"
SPT24022633,1,"PULAU PINANG",5.50,11.9800,"2024-10-07 00:00:00"
SPT24022634,1,SELANGOR,352.97,331.2500,"2024-10-07 00:00:00"
SPT24022635,1,"Negeri Sembilan",1.26,6.8900,"2024-10-07 00:00:00"
SPT24022636,1,"KUALA LUMPUR",241.60,225.8800,"2024-10-07 00:00:00"
SPT24022637,1,"NEGERI SEMBILAN",2.30,8.1600,"2024-10-07 00:00:00"
SPT24022638,1,TERENGGANU,3.90,9.1200,"2024-10-07 00:00:00"
SPT24022639,1,"KUALA LUMPUR",84.72,100.8100,"2024-10-07 00:00:00"
SPT24022640,1,SELANGOR,12.20,14.6300,"2024-10-07 00:00:00"
SPT24022641,1,"KUALA LUMPUR",131.30,133.1800,"2024-10-07 00:00:00"
MYCQY00009118,5,PAHANG,2.00,5.3000,"2024-10-07 00:00:00"
SPT24022642,1,PERLIS,61.00,58.1900,"2024-10-08 00:00:00"
SPT24022643,1,PERLIS,30.00,28.6200,"2024-10-09 00:00:00"
SPT24022644,1,"KUALA LUMPUR",11.28,18.4400,"2024-10-07 00:00:00"
SPT24022645,1,KEDAH,121.00,115.4300,"2024-10-08 00:00:00"
SPT24022646,1,PERLIS,174.00,166.0000,"2024-10-09 00:00:00"
SPT24022647,1,PERLIS,364.00,347.2600,"2024-10-09 00:00:00"
SPT24022648,1,SELANGOR,1.01,6.7800,"2024-10-07 00:00:00"
SPT24022649,1,"KUALA LUMPUR",2.00,5.3000,"2024-10-07 00:00:00"
SPT24022650,1,SELANGOR,2.00,5.3000,"2024-10-07 00:00:00"
SPT24022651,1,SELANGOR,2.00,5.3000,"2024-10-07 00:00:00"
SPT24022652,1,"PULAU PINANG",17.04,24.2700,"2024-10-07 00:00:00"
SPT24022653,1,PERAK,17.00,16.2200,"2024-10-08 00:00:00"
SPT24022654,1,SELANGOR,5.85,11.9800,"2024-10-07 00:00:00"
SPT24022655,1,"KUALA LUMPUR",92.00,87.7700,"2024-10-08 00:00:00"
SPT24022656,1,MELAKA,10.00,9.5400,"2024-10-08 00:00:00"
SPT24022657,1,SELANGOR,118.00,112.5700,"2024-10-08 00:00:00"
SPT24022659,1,"NEGERI SEMBILAN",1.00,9.0100,"2024-10-07 00:00:00"
300064331094,8,MELAKA.,23.00,19.5000,"2024-10-08 00:00:00"
SPT24022661,1,"KUALA LUMPUR",25.20,34.7700,"2024-10-07 00:00:00"
SPT24022662,1,JOHOR,36.00,30.5300,"2024-10-07 00:00:00"
SPT24022663,1,KELANTAN,7.00,13.2500,"2024-10-07 00:00:00"
8005001921,2,"NEGERI SEMBILAN",8.35,14.9500,"2024-10-07 00:00:00"
KLT24000092,1,SELANGOR,8.59,21.0900,"2024-10-08 00:00:00"
SPT24022664,1,JOHOR,385.00,296.2700,"2024-10-07 00:00:00"
SPT24022665,1,MELAKA,17.00,16.2200,"2024-10-08 00:00:00"
XEN00001617,3,SARAWAK,1.22,29.7800,"2024-10-07 00:00:00"
SPT24022666,1,"NEGERI SEMBILAN",0.98,6.7800,"2024-10-07 00:00:00"
SPT24022667,1,SELANGOR,69.00,76.6400,"2024-10-07 00:00:00"
SPT24022668,1,PAHANG,64.00,71.8700,"2024-10-07 00:00:00"
SPT24022669,1,SELANGOR,5.15,19.8200,"2024-10-07 00:00:00"
SPT24022670,1,SELANGOR,2.88,15.0500,"2024-10-07 00:00:00"
SPT24022671,1,SELANGOR,202.00,192.1700,"2024-10-07 00:00:00"
SPT24022672,1,SELANGOR,13.20,20.7800,"2024-10-07 00:00:00"
SPT24022673,1,"PULAU PINANG",10.80,17.2800,"2024-10-07 00:00:00"
SPT24022674,1,SELANGOR,38.00,36.2500,"2024-10-08 00:00:00"
SPT24022675,1,"PULAU PINANG",3.50,9.1200,"2024-10-07 00:00:00"
SPT24022676,1,JOHOR,58.00,49.1800,"2024-10-08 00:00:00"
SPT24022677,1," JOHOR",193.00,184.1200,"2024-10-09 00:00:00"
SPT24022679,1,PERLIS,47.30,56.6000,"2024-10-08 00:00:00"
300064623962,8,MELAKA.,40.00,33.9200,"2024-10-08 00:00:00"
SPT24022680,1,JOHOR,105.20,111.3000,"2024-10-08 00:00:00"
MYCQY00009120,5,PERAK,55.00,63.2800,"2024-10-08 00:00:00"
SPT24022681,1,SELANGOR,5.81,11.4500,"2024-10-08 00:00:00"
SPT24022682,1,SELANGOR,1.56,6.7800,"2024-10-08 00:00:00"
SPT24022683,1,SELANGOR,1.69,6.7800,"2024-10-08 00:00:00"
SPT24022684,1,KEDAH,1.00,9.0100,"2024-10-07 00:00:00"
SPT24022685,1,"PULAU PINANG",4.09,10.2800,"2024-10-08 00:00:00"
MYCQY00009121,5,PERAK,4.75,10.2800,"2024-10-08 00:00:00"
JHB24001147,1,"KUALA LUMPUR",15.36,32.3300,"2024-10-08 00:00:00"
JHB24001148,1,"KUALA LUMPUR",9.60,22.7900,"2024-10-08 00:00:00"
JHB24001149,1,PERAK,9.60,22.7900,"2024-10-08 00:00:00"
AOR24001539,1,PERAK,2.25,6.3600,"2024-10-08 00:00:00"
MYCQY00009122,5,PAHANG,0.65,6.7800,"2024-10-08 00:00:00"
SPT24022686,1,MELAKA,3.38,9.1200,"2024-10-08 00:00:00"
